Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Time per Epoch (s),Total Elapsed Time (s)
1,0.687360779251284,0.5474,0.6664424277937321,0.5922,9.924381971359253,9.924385786056519
2,0.645519505071518,0.63188,0.6419692367239072,0.62792,9.647565126419067,19.572953462600708
3,0.6305179967904639,0.65772,0.6324994261459926,0.64028,9.607240676879883,29.181198120117188
4,0.6212420712041733,0.66644,0.6209253323504992,0.65812,9.683708190917969,38.86600399017334
5,0.6110394665652223,0.67948,0.615871243921997,0.65968,9.583760976791382,48.450990438461304
6,0.6050239626099082,0.68208,0.6071855129335847,0.67712,9.728482246398926,58.180657386779785
7,0.5960052535509515,0.68916,0.5986388625238862,0.68192,9.588396310806274,67.77027678489685
8,0.5899371667896085,0.69488,0.59412810968621,0.68788,9.505191802978516,77.276859998703
9,0.5834888054434296,0.70312,0.5916427953163986,0.68848,9.676063776016235,86.95416378974915
10,0.5722662603763669,0.71148,0.5857998447497482,0.6934,9.53643250465393,96.49165940284729
11,0.5677341020778012,0.7166,0.5790870700345929,0.69664,9.664088726043701,106.15692830085754
12,0.5582746728454404,0.72428,0.568698444024986,0.71024,9.570305585861206,115.72833323478699
13,0.553574615503516,0.72696,0.5701802035274408,0.70708,9.55419135093689,125.28375935554504
14,0.5485686487553979,0.73184,0.5669187803555022,0.70848,9.536576747894287,134.87377071380615
15,0.5399531582584771,0.73852,0.5600969568847696,0.71748,9.608917713165283,144.4838261604309
16,0.5344714828007057,0.74072,0.5553998974583033,0.72052,9.600011825561523,154.0850112438202
17,0.5314957913382888,0.74288,0.5537804869739601,0.71964,9.485132694244385,163.57137084007263
18,0.5260627948871964,0.74716,0.5508939444713885,0.72496,9.544263124465942,173.11665630340576
19,0.5191268538270155,0.75196,0.5488455539469219,0.72348,9.567652940750122,182.68523812294006
20,0.5115164333139844,0.75788,0.5389608325403364,0.73256,9.571716070175171,192.2581536769867
21,0.5123620928858247,0.757,0.5445915223539942,0.7306,9.455352544784546,201.714537858963
22,0.5066817454669786,0.7618,0.5351387185361379,0.73608,9.456122159957886,211.17173886299133
23,0.503009135308473,0.76216,0.5302836769986945,0.7374,9.519550800323486,220.6923530101776
24,0.49588979662531785,0.76988,0.5288829727246024,0.74212,9.524893283843994,230.21813201904297
25,0.49279127081336876,0.7722,0.5258523738750106,0.74204,9.471648454666138,239.69099378585815
26,0.48773529043283,0.77284,0.5205886988993496,0.74596,9.43722128868103,249.12956976890564
27,0.485272911427271,0.77504,0.5221738814545409,0.7476,9.439956665039062,258.5705885887146
28,0.48251705058395405,0.77616,0.5180808761540581,0.74944,9.4979407787323,268.06962275505066
29,0.47793108316333704,0.77872,0.5160372456931093,0.75016,9.587239027023315,277.65804386138916
30,0.4749934491141678,0.77964,0.5138132789403277,0.75468,9.504043579101562,287.16596269607544
31,0.47121129575592785,0.78624,0.513131989085156,0.75472,9.629020690917969,296.7962644100189
32,0.4701241786065309,0.78456,0.5039559341300174,0.7598,9.637550592422485,306.43508529663086
33,0.4661192978586992,0.78828,0.5024423045118142,0.76,9.594322919845581,316.0309212207794
34,0.4611575135489559,0.79016,0.500599075003963,0.7634,9.646991968154907,325.6792447566986
35,0.46074596763876696,0.7916,0.499295086964317,0.761,9.510504722595215,335.19089007377625
36,0.45391103396635224,0.79428,0.49442672485585715,0.76696,9.500577926635742,344.69285678863525
37,0.4492267762760982,0.79884,0.5097678629181269,0.76172,9.4669930934906,354.1610896587372
38,0.45151568930167374,0.79892,0.500818152866705,0.7622,9.476913213729858,363.6393575668335
39,0.44857597564492385,0.79708,0.4914850442839401,0.76888,9.477103233337402,373.118221282959
40,0.44406124499752697,0.79956,0.5042640631994628,0.76552,9.520158529281616,382.6394326686859
41,0.44281156654553033,0.80044,0.48924994815493483,0.77088,9.640145540237427,392.2808015346527
42,0.44087356207010997,0.80172,0.48538234071505953,0.77448,9.488653898239136,401.77066683769226
43,0.43989100069036263,0.8036,0.4798315946022263,0.77604,9.718980312347412,411.49120712280273
44,0.43567270833208127,0.80636,0.4911175483404218,0.77348,9.516107320785522,421.00835156440735
